MES	CAMPANHA	LINK_PLANILHA
	AFT Preparação Acelerada | Largue na frente para conquistar uma das 900 vagas e ganhar R$ 23,5 mil/mês	https://docs.google.com/spreadsheets/d/11LoDwrZV8nt2dBmaqfGGWv9UYT38PLyHsylsI5clA_M/edit?usp=sharing
	Mentoria Estratégica TSE | O acompanhamento completo até a data da prova para furar a fila da aprovação	https://docs.google.com/spreadsheets/d/1X1X8qjUxyVTgECJUbav1BzEejkXmH3tRxCYA3bEIXFw/edit
	Mapa da Aprovação Câmara dos Deputados | Domine o método usado por 70% dos aprovados no Senado e conquiste R$ 26mil/mês	https://docs.google.com/spreadsheets/d/1XQylW0AzhGU424BsaByPnSqm5nT9zVQyYfxlHaQDE68/edit
	Marco Zero BACEN + CVM | Descubra como conquistar uma das 160 vagas com salários de até R$ 23 mil/mês	https://docs.google.com/spreadsheets/d/1reQ_zE_EKlj_XO3BSO2yIHQt3H1Txtm0_SSMZcxkS8E/edit
	Jornada do AFT | Prepare-se em alto nível para o maior concurso fiscal dos últimos 10 anos e conquiste R$ 23,5 mil/mês	https://docs.google.com/spreadsheets/d/1j9HycrMLe1ehsqFYKT6SuSZ7ya5nuZMa-yokYCf0YUQ/edit
	Turma Estratégica TSE | Aprenda o método usado por até 85% dos aprovados em TREs e conquiste R$ 14,4 mil/mês	https://docs.google.com/spreadsheets/d/1M5wUJywGYMkIplCXjjatJoZ1HZGza0Fd1Bjx0xRhxiY/edit
	Semana da sua Independência Financeira | Conquiste uma das 85 mil vagas em concursos para ganhar até 26 mil por mês	https://docs.google.com/spreadsheets/d/1i0fNSjRIZ8ZgxxTlZmU_hq9dsEmilFQ5wpBh6yBUFSI/edit
	Concurso PC SP - Escrivão e Investigador | Preparação turbo para provas objetiva, discursiva e oral em único lugar!	https://docs.google.com/spreadsheets/d/1WBKw5QR6Vvwa_pVBYhs8nFJ6gYZAYz3JeT-5k7qu8v4/edit
	Mapa da Aprovação PRF | Aprenda a estratégia usada por 952 aprovados no último concurso e conquiste sua vaga estudando só 3h/dia	https://docs.google.com/spreadsheets/d/1YpdAJd_zO_WTMX5BI3H_qHAspA5ehbNZD7C0uyNbmag/edit
	Guia da Aprovação no INSS | Descubra a estratégia usada por 2 em cada 3 aprovados e conquiste uma das 7.655 vagas solicitadas.	https://docs.google.com/spreadsheets/d/1fGz3ThUff_sPBoUbJ1ayU72Oflrob7NEOgATL7mE_2o/edit
	Melhor que Black Friday | O nº 1 em aprovações pelo menor preço do ano	https://docs.google.com/spreadsheets/d/1w7V4FmC5BcYRSPsQ9V7lMES4qawbQMcoD_AHrKFszRo/edit
	Esquenta Black Friday | Uma série de aulas com o nº 1 em aprovações	https://docs.google.com/spreadsheets/d/1crCYTcwpH4LbeTrND7ekz11Y62XpBXSFcfPjWkyftQc/edit
	Black Friday Estratégia Educação 2023 | O nº 1 em aprovações pelo menor preço do ano	https://docs.google.com/spreadsheets/d/1yxaqlSo1i8G2O3m1wXQaQ-q7wgqp0ch8YX92utH1C0k/edit
	Preparação Turbo TSE | A estratégia de reta final para você conquistar um salário de até R$ 15 mil/mês	https://docs.google.com/spreadsheets/d/1QMZx6KLHRjNJjXC7y5YjzH7aLOuIK5vxxG6BCVrWpK0/edit
	Funil de e-mails CNU	https://docs.google.com/spreadsheets/d/1Ye6go7EITfBbMdfe90FMAHF2X3Dgvv2phdMed-tbLZM/edit
	Nunca mais seja demitido | Mais de 64 mil vagas, salários de até 27k e estabilidade para sempre	https://docs.google.com/spreadsheets/d/13FQbtlYQpb6KoKq6rpxu3-lmO91fyWwryPHsMQ_sIZw/edit
	Seja um professor concursado em 2024 com o Estratégia Educação	https://docs.google.com/spreadsheets/d/1-6URbic-Ig591GRjfMcqUvTT9OTxsDTqF-dA9Az-E4E/edit
	Você aprovado em 2024 - Estratégia Saúde	https://docs.google.com/spreadsheets/d/1HWZQBFQ_Ge2KsUBXBM8uX6cYxCAwN8650G5UkFoLy4U/edit
	Operação Polícia Federal 2024 | Conquiste uma das 2.000 vagas anunciadas com quem aprovou 977 PFs no último concurso	https://docs.google.com/spreadsheets/d/1qNccyNWkoXK5PRaPH2QCVOx4MnU-D3PKrDZ8t8-KmVQ/edit
	Reta Final Polícia Penal GO | Conquiste uma das 400 vagas e salários de R$ 6 mil com o método dos #1s colocados do DEPEN	https://docs.google.com/spreadsheets/d/1bcm2FxZn4Xv4icyV2g_k7OiT79TVNUviOWaUKxEfSI8/edit
	Preparação Total BACEN, CVM e STN | Multiplique suas chances de aprovação disputando as 200 vagas com salários de R$ 20,9 mil/mês	https://docs.google.com/spreadsheets/d/1mFq3W0AmgJrqjG9RSe8kmi2Op7niMrK_bqfUARfqvAw/edit
	Guia da aprovação CAIXA | O plano imbatível para você conquistar uma das 4.000 vagas com remunerações de R$ 5.2 mil.	https://docs.google.com/spreadsheets/d/15Zb3A9qxCYFHodpRRtubmELdWipwyfiWZwsRmCwGjDI/edit
